timestamp,value_mm
2025-08-15 11:11:40.672272,5.009
2025-08-15 11:11:41.679106,0.064
2025-08-15 11:11:42.688057,3.176
2025-08-15 11:11:43.680309,6.718
2025-08-15 11:11:44.688006,0.0
2025-08-15 11:11:45.687637,4.47
2025-08-15 11:11:46.694690,5.525
2025-08-15 11:11:47.704115,7.699
2025-08-15 11:11:48.671924,8.346
2025-08-15 11:11:49.672269,12.294
2025-08-15 11:11:50.727685,13.365
2025-08-15 11:11:51.671757,9.098
2025-08-15 11:11:52.671925,10.292
2025-08-15 11:11:53.680177,11.678
2025-08-15 11:11:54.678063,11.678
2025-08-15 11:11:55.687791,9.274
2025-08-15 11:11:56.685586,10.629
2025-08-15 11:11:57.685939,-0.001
2025-08-15 11:11:58.831994,-0.001
2025-08-15 11:11:59.774381,-0.001
2025-08-15 11:12:00.774229,-0.001
2025-08-15 11:12:01.773887,-0.001
